,Company/Brand,HeadQuarter,Sector,What it does,Investor,Amount($),Stage,Year
764,InsuranceDekho,Ludhiana,FinTech,The funding for branding and marketing activities as well as strengthening the product and technology teams,GirnarSoft,20000000.0,,2020
765,BestDoc,Kochi,HealthCare,An Intelligent Patient Relationship Management (PRM) system for hospitals and other healthcare providers in India.,,2100000.0,,2020
766,Byju’s,Bangalore,EdTech,An Indian educational technology and online tutoring firm,"Owl Ventures, Tiger Global Management",500000000.0,,2020
767,Melorra,Bangalore,Jewellery startup,Melorra is an operator of an online jewelry store that is used to offer contemporary jewelry.,"Jamshed Jeejeebhoy, Symphony International Holdings",12500000.0,,2020
768,Reliance,Mumbai,Multinational conglomerate company,"Reliance owns businesses across India engaged in energy, petrochemicals, textiles, natural resources","Facebook, Google, KKR, Silver Lake",2200000000.0,,2020
769,Inflexor Ventures,Mumbai,FinTech,Experienced Venture Capital-General Partner focused on Technology investments.,,10000000.0,,2020
770,Pandorum,Bangalore,Deeptech startup,A Bangalore based biotechnology company with focus on tissue engineering and regenerative medicine.,"021 Capital, Karnataka Information Technology Venture Capital Fund",5060000.0,,2020
771,SpeakIn,Noida,Social Network,"AI-enabled network of speakers and thought leaders, aka. experts",Homage Ventures.,3000000.0,,2020
772,LetsUp,Mumbai,Publication,"Provides News, Jobs, Information & Entertainment on WhatsApp, Absolutely free",,3000000.0,,2020
773,Newsreach,Gujarat,Publication,NewsReach India offers partner publications a digital footprint,Mumbai Angels,3000000.0,,2020
774,Dream11,Mumbai,Entertainment,Dream11 is India’s Biggest Sports Game with 30 million+ users playing Fantasy Cricket,"Steadview Capital, Tencent Holdings",225000000.0,,2020
775,SignalX,Hyderabad,SaaS platform,"An AI-powered SaaS platform for corporate risk and due diligence for a comprehensive financial, legal, regulatory, and reputational risk analysis",,750000.0,,2020
776,JetSynthesys,Mumbai,Tech,Gaming and entertainment startup,"Adar C. Poonawalla, Kris Gopalakrishnan",40000000.0,,2020
777,Vesta Space Technology,Pune,Tech Startup,VestaSpace Technology specialises in making small satellite platforms for commercial and scientific applications.,,10000000.0,,2020
778,Dozee,Bangalore,HealthTech,Dozee offers health and wellness monitoring products.,,1600000.0,,2020
779,Rebel Foods,Pune,Food,"Known for its larger brands – Faasos, Behrouz Biryani, Oven story and Mandarin",Coatue Management,50000000.0,,2020
780,Nykaa,Mumbai,Fashion,Cosmetics & beauty products online,Steadview Capital,24700000.0,,2020
781,Ketto,Mumbai,Finance,"Crowdfunding, Charity, E-commerce","Mumbai Angels, Redcliffe Capital",7700000.0,,2020
782,Suryoday,Mumbai,Finance,Banks that extends two distinct fixed deposit schemes,"Gaja Capital, Kotak Life, Lok Capital",800000.0,,2020
783,SucSEED,Hyderabad,Finance,Venture Partners,"DR. Moti Vyas, Udit Goyal",1300000.0,,2020
784,Unacademy,Bangalore,EdTech,Unacademy is an Indian online education technology company,"Nexus Venture Partners, Sequoia Capital",150000000.0,,2020
785,Strata,Bangalore,Real Estate,"Commercial Real Estate, Commercial Property Investment, Best Long Term Investments","Propstack, SAIF Partners",19067328.0,,2020
786,3one4 Capital,Bangalore,Venture capital,Use transformative capital and a deep involvement strategy to help Indian entrepreneurs,,100000000.0,,2020
787,WE-Hub,Hyderabad,Entreprenurship,WE HUB is the first-of-its-kind and only State-run platform for Women Entrepreneurs.,,3000000.0,,2020
788,Zomato,Haryana,Food devlivery,Get online food delivery from restaurants near you,"MacRitchie Investments, Baillie Gifford",62000000.0,,2020
789,Vicara,Bangalore,Tech Startup,A deep tech startup pioneering in motion-based interfaces and insights.,,3000000.0,,2020
790,Gaana,Gurugram,Entertainment,Gaana is a commercial music streaming service providing free and licensed music.,"Tencent Holdings, Times Internet",51000000.0,,2020
791,EM3 Agri,Noida,AgriTech,A pioneering organization in the farming-as-a service (FaaS) space,"Global Innovation Fund, Soros Economic Development Fund",1000000.0,,2020
792,Plum,Thane,Cosmetics,"Shampoos, Conditioner & Hair Mask For Healthy, Happy Hair","Ronald Conway, Bay Partners",115000.0,,2020
793,Odwen,Noida,Warehouse,India's first do-it-yourself warehouse management system.,Prospect Partners.,54000.0,,2020
794,Fasal,Bangalore,AgriTech,Captures real-time data on crop growth conditions using on-farm sensors and delivers advisories to farmers in Indian languages,"Omnivore, Zeroth.AI",20000.0,,2020
795,Trukky,Ahmedabad,Logistics,"Transportation, logistics services & cargo services.",Mumbai Angels.,3000000.0,,2020
796,BankBazaar,Chennai,Online financial service,Check your latest Credit Score and get your Credit Report online in India for Free,"Ramesh Srinivasan, Amazon",9000000.0,,2020
797,Specsmakers,Chennai,Eyeglasses,"A leader in crafting stylish, high-quality, eyewear at affordable prices.",Eight Roads Ventures,3000000.0,,2020
798,Grinntech,Dehradun,Battery design,"Grinntech has a range of Lithium-ion batteries which sets new standards in Electrical safety, Energy density, Durability","Ashok Leyland, V Lakshmi Narayanan",2000000.0,,2020
799,CreditMantri,Chennai,Online credit management startup,CreditMantri is a provider of comprehensive Credit Analysis and Credit Improvement programs.,"Ranjit Punja, R Sudarshan, Gowri Mukherjee",803146.0,,2020
800,Chai Waale,Chennai,Beverage,Given the rising trend in the number of tea stalls in the city,"Gunavanth Vaid, Bharat Kumar Sohanraj",238000.0,,2020
801,Deepsync,Bangalore,Tech Startup,"Deepsync is a revolutionary way to record your content, without you really speaking.",Venkat Raju,300000.0,,2020
802,Byju’s,Bangalore,EdTech,An Indian educational technology and online tutoring firm,"Owl Ventures, Tiger Global Management",500000000.0,,2020
803,ConnectedH,Gurgaon,HealthCare,The company’s vision is simple – Connected Healthcare.,,3000000.0,,2020
804,Reliance Retail,Mumbai,E-commerce,"Retailer delivering superior value to its customers, suppliers and shareholders.",Silver Lake Partners,10220000.0,,2020
805,QShala,Bangalore,EdTech,A platform that helps kids learn about life skills,,300000.0,,2020
806,Pitstop,Bangalore,Car Service,"Pitstop owns and operates a network of garages that provides car repair, detailing","Clairvest Group, Ontario Centres of Excellence",1020000.0,,2020
807,Zomato,Haryana,Food devlivery,Get online food delivery from restaurants near you,"MacRitchie Investments, Baillie Gifford",100000000.0,,2020
808,Customfit ai,Bangalore,SaaS startup,Operates on a SaaS model by providing a hyper-personalised website to users.,,3000000.0,,2020
809,Nirmata,San Franciscao,Tech,Nirmata offers a complete solution for Kubernetes management and deployment for cloud-based apps,"Damien Toledo, Jim Bugwadia, Ritesh Patel",3000000.0,,2020
810,Hire Me Car,Noida,TravelTech,HireMeCar.com offers customers the fastest and easiest way to plan road travel.,US based NRI Investors,3000000.0,Seed,2020
811,Oga Fit,Bangalore,Fitness startup,The new-age home workout app that gives you an unmatched boutique digital fitness studio experience.,"Inflection Point Ventures, Mitesh Shah",3000000.0,Pre-series A,2020
812,ShipsKart,New Delhi,E-commerce,"ShipsKart platform that streamlines the way marine stores are ordered, approved and received on board with the help of technology.",Betatron,200000.0,Pre-series A,2020
813,SquadStack,San Francisco,Tech company,"Empowering consumer businesses to improve their sales conversions and funnel efficiency, using Artificial Intelligence & Data Science.","Chiratae Ventures, Blume Ventures",5000000.0,Series A,2020
814,Financepeer,Mumbai,EdTech,Financepeer is an AI based peer to peer lending platform.,"Ravi Sanghvi, PitchRight Venture",3000000.0,Pre-series A,2020
815,Cashify,Gurugram,E-commerce,Cashify.in is an e-commerce platform for reselling used electronic gadgets.,"Bessemer Venture Partners, CDH Investments",10000000.0,Debt,2020
816,Etrio,Hyderabad,EV startup,"Etrio is an electric vehicle company in India with tata ace electric, Electric Tata ace HT",HNIs,3000000.0,Series A,2020
817,Codeyoung,Bangalore,EdTech,Codeyoung provides live online coding classes for kids between the age of 5 - 17.,Guild Capital,3000000.0,Seed,2020
818,StayQrious,Bangalore,EdTech,"Live online coding courses with social learning. Build coding skills, confident communication and leadership skills with your very own coach.",Y Combinator,2000000.0,Seed,2020
819,Sunstone Eduversity,Gurugram,EdTech,India's Only Business School That Offers MBA & PGDM Programs With 100% Placement Assurance.,Prime Venture Partners,3000000.0,Series A,2020
820,Infilect,Bangalore,SaaS startup,Infilect Technologies specialises in visual content intelligence by parsing large-scale visual content such as photos and videos,"Mela Ventures, 1Crowd",1500000.0,Pre-series A,2020
821,MobiGarage,New Delhi,E-commerce,An ecommerce platform for refurbished electronics.,,3000000.0,Pre-series A,2020
822,Samunnati,Chennai,Agriculture,Samunnati is a financial service provider focused on agri value chains.,"responsAbility, Accel",20000000.0,Debt,2020
823,WeInnovate Biosolutions,Pune,Startup laboratory,Startup working dedicatedly in the area of healthcare-therapeutic solutions.,Chiratae ventures,3000000.0,Seed,2020
824,Yummy Corp,"Tangerang, Jawa Barat, Indonesia",Food Industry,"Yummy Corp is a food & beverages company that provides delicious, fresh, and creative food solutions for everyday corporate and group needs.","Palm Drive Capital, Amatil X Ventures",12000000.0,Series B,2020
825,Smallcase,Bangalore,FinTech,Smallcases are portfolios of stocks or ETFs created by India's top financial experts.,"Sequoia Capital India, Blume Ventures",13400000.0,Series B,2020
826,Clairvolex,California,Tech Startup,Clairvolex is an IP solutions company that manages IP assets of large corporations using an IPAM model.,"JF Mauritius SPV, IndusAge Partners",2000000.0,Debt,2020
827,Assiduus,Bangalore,E-commerce,"Assiduus leverages its eCommerce experience to help build, grow and scale your brand on various eCommerce platforms",VC Firm K Partners,1000000.0,Series A,2020
828,Brinton,California,HealthTech,Brinton is one of the fastest growing Pharmaceutical Companies spreading its network worldwide.,"India Alternatives Private Equity Fund, Tata Capital",1300000.0,Debt,2020
829,AFK Gaming,Mumbai,Entertainment,AFK Gaming is a media and entertainment and gaming company located in Mumbai.,,200000.0,Pre-series A,2020
830,Infarm,Berlin,AgriTech,Infarm builds and distributes highly efficient vertical farms throughout cities to grow fresh produce right in your neighbourhood.,"Bonnier Ventures, Hanaco Venture Capital",170000000.0,Series C,2020
831,Zuper,Seattle,SaaS startup,Zuper is a productivity suite for service businesses to mobile field workforce and automate all business operations.,"Gemba Capital, Gunderson Dettmer",1100000.0,Seed,2020
832,mCaffeine,Mumbai,Personal care startup,"MCaffeine is a personal care brand that offers caffein-infused face, body, and hair care products.","RPSG Ventures, Amicus Capital",2900000.0,Series B,2020
833,Origa,Andheri,FinTech,The charioteer of your growth at all times.,"500 Startups, ah! Ventures",2000000.0,Debt,2020
834,GullyBuy Software,Pune,Tech Startup,To deliver a solution that will provide shopping convenience to every consumer in India,,543000.0,Pre-series A,2020
835,Recordent,Hyderabad,FinTech,A technology-enabled platform that helps MSMEs to increase their business efficiency through collection of dues,,3000000.0,Seed,2020
836,MPL,Bangalore,Entertainment,Mobile Premier League is the mobile e-Sports platform based in India.,"Base Partners, GO Ventures",90000000.0,Series C,2020
837,Penny,Riyadh,SaaS startup,Offer various development solutions and mainly focus on helping startups,,1300000.0,Seed,2020
838,Onsitego,Mumbai,Customer service company,Onsitego is a customer service company for device and appliance repairs.,"Accel, Zodius Capital",30000000.0,Series B,2020
839,Precily,California,SaaS  startup,Precily is Artificial Intelligence platform for enterprises that increases efficiency of workforce by providing AI based solutions.,"Windrose Capital, Anil Advani",3000000.0,Seed,2020
840,SmartClean,Singapore,Tech Startup,SmartClean Technologies is an AI company that offers data-driven cleaning operations designed for facilities.,"Seeds Capital, AIM Smart City",3400000.0,Pre- series A,2020
841,ClanConnect,Delhi,Marketing startup,"AI-driven influencer marketing platform ClanConnect.ai, which helps brands make their campaigns more data and result-oriented",,600000.0,Seed,2020
842,Servify,Mumbai,Service industry,Servify is a self-learning platform that provides device management services and warranty solutions.,"Blume Ventures, Tetrao",23000000.0,Series C,2020
843,ShareChat,Bangalore,Social media,ShareChat is a social networking and regional content platform.,"Lightspeed venture partners, saif partners",40000000.0,Pre-series C,2020
844,Rephrase.ai,Bangalore,AI,Rephrase.ai helps in creating high-quality videos and animations through an AI-powered visual dubbing tool.,"Techstars Bangalore Accelerator, Techstars",1500000.0,Seed,2020
845,Melorra,Bangalore,Jewellery,"Buy Latest Gold, Diamond & Gemstone Jewellery Designs Online Rings, Earrings, Necklace","Shadows Holdings, Lightbox",8090000.0,Debt,2020
846,FabHotels,Gurugram,Hospitality,FabHotels is a network of 3 star budget hotels in India,"RB Investments Pte. Ltd, Goldman Sachs",1030000.0,Series B,2020
847,EkAnek,New Delhi,Tech Startup,EkAnek Networks is a new startup that is focused on building the ecosystem for new age brands in lifestyle categories,"Lightspeed India Partners, Sequoia Capital India",5040000.0,Edge,2020
848,Cub McPaws,Mumbai,AR startup,Cub McPaws is a kids clothing brand.,Venture Catalysts,800000.0,Pre-series A,2020
849,Zimyo,Gurgaon,HR Tech startup,Employee experience platform that empowers organizations to manage and retain great talent!,"Abhishant Pant, Chiranth Patil",1500000.0,Seed,2020
850,PumPumPum,Gurgaon,Automotive Startup,Pumpumpum is a car rental company,,360000.0,Debt,2020
851,Burgerama,Gurgaon,Food Startup,Burgerama is a unit of Junket Foods Private Limited,"Madison, Anicut",3000000.0,Pre-series A,2020
852,Moms Co,Gurgaon,HealthCare,The Moms Co. creates a safe and natural formulated products for babies that are certified toxin-free,"DSG Consumer Partners, Saama Capital",8000000.0,Series B,2020
853,DillyHub,Seoul,Publication,A service that promotes and facilitates the works of independent comic artists,"Kakao Ventures, Shinhan Capital",1400000.0,Seed,2020
854,FPL Technologies,Pune,FinTech,FPL is on a mission to re-imagine credit and payments from first principles and is building a mobile-first credit card,"Matrix Partners India, Hummingbird Ventures",10000000.0,Series A,2020
855,FITTR,Pune,Fitness startup,Fitness Social Network & Consultation Platform that helps you achieve your Health & Fitness goals.,Surge,2000000.0,Pre-series A,2020
856,Illumnus,Pune,EdTech Startup,"An innovative EdTech startup from IITB & BITS alumni, offering B2B SaaS-based collaborative LMS for Schools and Universities",23 High Networth Individuals (HNIs).,100000.0,Seed,2020
857,CashKaro,Gurgaon,E-commerce,Cashkaro is a coupons and cashback site rewarding customers for visiting online retailers through their site.,"Ratan Tata, Kalaari Capital",10000000.0,Series B,2020
858,Newton School,Bangalore,EdTech Startup,Newton School is a platform to learn and develop skills,Nexus Venture Partners,650000.0,Seed,2020
859,Airmeet,Bangalore,Tech Startup,"Airmeet is an all-in-one events platform for virtual summits, meetups, and workshops that includes virtual social lounge","Global Founders Capital, Redpoint",12000000.0,Series A,2020
860,Observe ai,San Francisco,Tech,"Observe.AI develops a voice AI platform for contact centers, turning agents into top performers.","01 Advisors, Steadview Capital",54000000.0,Series B,2020
861,InCred,Mumbai,Finance,"Provide loans for all your needs like personal loan for wedding, education loan, business loan","Pushpak Credit, Fiscal",5000000.0,Debt,2020
862,Toppr,Mumbai,EdTech,Toppr is an Indian educational technology and online tutoring firm,"Kaizenvest, Foundation Holdings",35000000.0,Series D,2020
863,CarTrade,Mumbai,Car Trade,Buy and Sell Used Cars,"Pincus, JP Morgan, Temasek, March Capital",42500000.0,Series H,2020
864,LEAD School,Mumbai,EdtTech,Offers a high-end digital classroom system focused on enhancing the learning experience,"Westbridge Capital, Elevar Equity",28000000.0,Series C,2020
865,Servify,Mumbai,Manufacturing,"Enables top OEMs & ODMs in device distribution, sales, warranty","Blume Ventures, Tetrao",11370000.0,Series C,2020
866,Lido Learning,Mumbai,EdTech,"Online classes for Std 4-9 in Math, Science, Coding, English & Leadership with top 1% tutors ‍","BAce Capital, Madhur Deora",7500000.0,Series B,2020
867,Apna.co,Bangalore,Job portal,Can find all types of jobs from entry level to experienced people in over 60+ categories.,"Lightspeed India, Sequoia Capital India",8000000.0,Series A,2020
868,Quintype Technologies,Bangalore,Tech,"Building a suite of digital publishing solutions to simplify content creation, distribution","IIFL Asset Management, Raghav Bahl",325000.0,Series A,2020
869,Dunzo,Bangalore,Tech,Order online and get free delivery from your nearby restaurants,"Wes Schwalje, Alteria Capital",28000000.0,Series E,2020
870,Entropik,Bangalore,AI Platform,Gain insights into human emotions with AI-powered platform affect lab.,"IDFC-Parampara Fund, Bharat Innovation Fund",8000000.0,Series A,2020
871,Livspace,Bangalore,Home Design,Interior design marketplace that connects interior designers,"Mercer Investments, Nicholas Cator",9000000.0,Series D,2020
872,Ultraviolette Automotive,Bangalore,Automation,Industries Automotive Electric Vehicle Energy Energy Storage,TVS Motor Company,410000.0,Series B,2020
873,WinZO,New Delhi,Gaming,WinZO is a mobile e-Sports gaming platform in India. It is available in 10 regional languages of India.,"Makers Fund, Courtside Ventures",18000000.0,Series B,2020
874,SenseHawk,Bangalore,Solar SaaS,SenseHawk is a SaaS platform that helps improve processes and saves cost in the development,"Falcon Edge Capital, SAIF Partners",5000000.0,Series A,2020
875,Railofy,Mumbai,WL & RAC protection,Enables waitlisted passengers to reach their destination at the lowest possible price if their ticket is not,Chiratae Ventures.,900000.0,Seed,2020
876,Eloelo,Bangalore,Social commerce,"Social Commerce Venture for Wellness. View company info, jobs, team members, culture, funding and more.",,450000.0,Seed,2020
877,Aibono,Bangalore,AgriTech,A next dimension food & farming platform that unites two ends of the food chain from growing to consuming,"Menterra Venture Advisors, Rianta Capital",2000000.0,Pre-series A,2020
878,BuildPan,Indore,SaaS startup,"Buildpan helps you with continuous build, development and user feedback for iOS and Android development.","Sunil Kumar Singhvi, Yusho Kawata",500000.0,Seed,2020
879,Homelane,Bangalore,Home interior services,Explore 1000's of fully customizable home interior designs.,"Accel Partners, Sequoia Capital, Evolvence India, JSW Ventures",8000000.0,Bridge,2020
880,MyGlamm,Mumbai,Fashion,Buy Makeup kit & Cosmetics Products from international makeup brand,Bessemer Venture Partners,1000000.0,Series B,2020
881,Aviom,New Delhi,Finance,A social impact focused housing finance company catering to housing needs of customers in semi urban areas,"Insitor Partners, C4D Partners",682000.0,Debt,2020
882,Flinto,Chennai,EdTech Startup,Flintobox is an India-based company that produces educational activity boxes for children,"Sinai Ventures, Y Combinator",7000000.0,Pre-Series B,2020
883,WayCool,Chennai,Agritech startup,WayCool is a social enterprise positively impacting the lives of India's farmers,"FMO, IndusInd Bank",5060000.0,Series C,2020
884,YAP,Chennai,API platform,Create your own stream of Neo-banking and Deposit products using our bank-grade APIs,"Jitendra Gupta, Better Capital",4050000.0,Series A,2020
885,Big Bang Boom Solutions,Chennai,Deep Tech,It aims to co-create intellectual property that can reside within the borders of the country.,"Mumbai Angels, Defence Innovation Organisation",1050000.0,Series A,2020
886,GUVI,Chennai,EdTech Startup,Operates vernacular-language based education tech startup,"CBA Capital, Gray Matters Capital",800000.0,Series A,2020
887,BluSmart,Gurugram,Electricity,"BluSmart, an all-electric ride-hailing platform","Kalpavriksh, JITO Angel Network",7000000.0,Pre-series A,2020
888,Cell Propulsion,Bangalore,Automotive company,Designs and develops electric power drives and autonomous electric mobility solutions,"growX ventures, Sangam Ventures",3000000.0,Pre-series A,2020
889,MPL,Bangalore,Entertainment,Mobile Premier League (also known as MPL) is the mobile e-Sports platform,"Sequoia Capital India, Times Internet",50000000.0,Series B,2020
890,Spoonshot,Bangalore,FMCG,A food science company using AI to predict consumer taste and food trends,"SRI Capital, Techstars Farm to Fork Accelerator",1000000.0,Seed A,2020
891,Pulse,Mumbai,FinTech,Helps people navigate through and profit off financial markets,,750000.0,Pre-series A,2020
892,Groww,Bangalore,FinTech,Leading Investment and Trading Platform,"Y Combinator, Ribbit Capital",30000000.0,Series C,2020
893,i3 Systems,Mumbai,Insurance Tech,Transforming India's health insurance industry with its digital solutions and AI products for automation,"Hatanaka Yosuke, Minomiya Takeo",1050000.0,Pre-series A,2020
894,SOAL,Mumbai,EdTech,"A skill-tank nurturing students into disruptive, tech-empowered creators and future leaders","Krishnan Menon, Srinivas Kollipara",1000000.0,Series A-1,2020
895,OckyPocky,Gurugram,EdTech,Ockypocky helps kids in learning spoken english,"SucSEED Venture Partners, ah! Ventures",400000.0,Seed,2020
896,Hippo Video,New York,Video personalization,Helps enterprise businesses achieve their marketing and sales goals through seamless video,"Surge, Kae Capital",4000000.0,Series A,2020
897,Hasura,San Francisco,Software Company,"Builds developer tooling products, including open source tools, backend","Nexus Venture Partners, Sam Lambert",25000000.0,Series B,2020
898,Qapita,Singapore,FinTech,Qapita provides digital equity management tools for private companies and startups.,"Alto Partners, Mission Holdings",1080000.0,Seed,2020
899,Sunday,Bangkok,FinTech,An end-to-end insurance products and services provider that uses AI to offer personalized packages.,"SCB 10X, LINE Ventures",9000000.0,Pre-Series B,2020
900,Gamezop,Gurugram,Gaming,A multi-game platform,"Powerhouse ventures, Tracxn,",4300000.0,Series A,2020
901,Phool.co,Kanpur,Biomaterial startup,They use flowers from temples across India's and create useful products such as rose incense cone,Kaplan Foundation,1400000.0,Pre-series A,2020
902,Chiratae Ventures,Bangalore,Venture capital,A leading tech venture capital fund focused on enabling entrepreneurs in India.,,3000000.0,Seed Funding,2020
903,MedLife,Bangalore,Health,"An India online platform, which provides pharmacy, diagnostics, and e-consultation in India.",Ivy Icon,6800000.0,,2020
904,IDfy,Mumbai,IT,IDfy provides risk and fraud solutions,"Millenna FVCI III, NB Ventures, Dream Incubator",2110000.0,Series A,2020
905,True Balance,Gurugram,Finance,Earn money by meeting financial needs of your friends and neighbors.,Balancehero,3000000.0,Series C,2020
906,Bira91,New Delhi,Craft Beer,A craft beer brand manufactured by B9 Beverages Pvt. Ltd.,Anicut Capital,764000.0,,2020
907,Max wholesale,New Delhi,E-commerce,MaxWholesale is an online distributor that provides authentic FMCG goods,"Al Falaj Commercial Investment Co, Vistra ITCL India",603000.0,,2020
908,Craftsvilla,Mumbai,E-commerce,"Sells ethnic apparel, footwear, fashion accessories, beauty products, handcrafted home accessories",Supera Investments,409000.0,,2020
909,MechMocha,Bangalore,Entertainment,India's first vernacular social gaming platform,"Accel India, Blume Ventures, 3F Ventures, Akatsuki Inc",292000.0,Series A,2020
910,Mindhouse,Gurugram,Healthtech,A gym to train your mind offering workouts and programmes,"GGV Capital, Sahi Barual",286000.0,,2020
911,DeepSync,Chandigarh,AI startup,"A revolutionary way to record your content, without you really speaking","Grand Anicut Angel Fund (GAAF), AL Trust, Beeline Impex Private Limited, 9Unicorns, Accelerator Fund",136000.0,,2020
912,Eruditus,Mumbai,Education,Bring world-class business and professional education to a global audience,"Bertelsmann India Investments, Sequoia Capital India",3000000.0,,2020
913,Gradeup,Noida,Education,"India's largest exam preparation destination,","Times Internet, TLabs",546000.0,,2020
914,Tracxn,Bangalore,Investment,Tracxn is the research partner for Venture Capitalist,"Saif partners, Accel partners, Sequoia capital",887000.0,Series B,2020
915,Purple Style Labs,Mumbai,Fashion,Shopping experience and foster the growth of Indian brands and designers.,"Jitendra Gupta, Astarc Ventures.",43000.0,,2020
916,ProPhysio,Bangalore,Health,The largest provider of physiotherapy and rehabilitation services,Nestavera Ventures.,40900.0,,2020
917,Flickstree,Mumbai,Tech,World's largest video publisher,"MOX, Venture Catalysts",40900.0,,2020
918,Settl,Gurugram,TravelTech,Get affordable AC bus-rides everyday,"Sojitz, SIG Global India Fund",3000000.0,,2020
919,Fanspole,Thane,Entertainment,India's only social fantasy gaming platform,"Mohan Verma, Better Capital",3000000.0,Pre-Seed,2020
920,Sarva,Mumbai,Healthcare,A wellness ecosystem built on the authentic foundations of Yoga,"Shikhar Dhawan, Mantra Capital",3000000.0,,2020
921,Univ.ai,Bangalore,EdTech,"A distributed, global educational powerhouse that draws on technology",Kiran Mazumdar Shaw.,3000000.0,,2020
922,PurohitJi,Bangalore,Linguistic Spiritual,App for Hindu Puja Products & Services,Bhadresh,3000000.0,,2020
923,CredoLab,Singapore,Tech,AI credit scoring platform,"GB Group, Walden International",7000000.0,Series A,2020
924,Brick&Bolt,Bangalore,Construction,"A construction company doing house construction, building construction, commercial construction","Meghna Agarwal, Navin Dhanuka",2200000.0,Series A,2020
925,Grinntech,Chennai,Battery manufacturer,Leading on all fronts of battery design,"V Sumantran, V Lakshmi Narayanan",2000000.0,,2020
926,6Degree,Mumbai,Fashion,India's leading fashion business platform,"Keiretsu Forum, SucSEED Venture Partners",340000.0,,2020
927,Exprs,,Nano Distribution Network,"Nano Distribution Centres, enabling seamless connectivity of businesses & Consumers.","Sweta Rau, Sandeep Kapoor",5660000.0,,2020
928,Bikayi,Hyderabad,E-commerce,Provides free whatsapp integrated E-Commerce Store,Mantis ventures,2000000.0,Seed round,2020
929,Virtual Forest,Bangalore,Tech,Tracking seasonal change in virtual forest,Napino Auto and Electronics Ltd,3000000.0,,2020
930,The Health company,Gurugram,AI health,Organic superfoods & free personal health coaching that actually work.,"VCATS, First Cheque, 9Unicorns, Marquee investors",350000.0,,2020
931,TrulyMadly Matchmakers,Gurugram,Dating app,One of the best dating Apps in India connecting singles across the country.,"AngelList, Inflection Point Ventures, The Chennai Angels",110000.0,Pre-series A,2020
932,TrueFan,Mumbai,Media,Enables users to play quizzes around celebrities and winners get a personalised video message from stars.,"Mayfield India, Saama Capital, Ronnie Screwvala",4300000.0,Seed round,2020
933,Fanspole,Mumbai,Gaming,A free app that users can use to create contests and play,Better Capital,3000000.0,Pre-seed Round,2020
934,Byju's,Bangalore,EdTech,Provides online learning classes,DST Global,122000000.0,,2020
935,Avail Finance,Bangalore,Fintech,Instant online loan app,"Alphawave, Matrix Partners",11635000.0,Series B,2020
936,The Money Club,Delhi,AI,AI based chit fund cashier app,Venture Catalysts,3000000.0,,2020
937,Virohan,Gurgaon,Healthcare/Edtech,Healthcare training company,"Keiretsu Forum, Elea Foundation",2800000.0,Seed Round & Series A,2020
938,OneCode,Gurugram,Social Commerce,Connects new-age digital first brands with relevant sellers,WaterBridge Ventures,3000000.0,Seed round,2020
939,Verloop.io,,AI,Helps automate customer service using Artificial Intelligence,Alpha Wave incubation,5000000.0,,2020
940,Otipy,,Agritech/Commerce,Connects consumers with farmers thorugh women resellers,Inflection Point Ventures,1000000.0,Pre Series A,2020
941,Evage,Chandigarh,Mobility tech,Develop emissions-free electric commercial vehicles,Anand Shah,3000000.0,,2020
942,LEAD School,Mumbai,EdTech,Offers an integrated system for schools by helping them digitize the entire curriculum,"WestBridge Capital, Elevar Equity",28000000.0,Series C,2020
943,Trell,Bangalore,Social e-commerce,Allows users to share their travel experiences,"KTB Network, Samsung Ventures, Ankur Nagpal, Gokul Rajaram, Vineet Buch",11000000.0,Series A,2020
944,Captain Fresh,Bangalore,Food & Logistics,Sea food Supply chain,Ankur Capital,2300000.0,Pre Series A,2020
945,Teachmint,Bangalore,EdTech,Empowers tutors with tools to deliver effective learning outcomes for students and parents,Better Capital,3000000.0,,2020
946,Pixxel,Bangalore,SpaceTech,Indian Earth observation startup,"Lightspeed India Partners, Blume Ventures, GrowX ventures",5000000.0,Seed round,2020
947,Habbit Health,Delhi,Nutrition Tech,Applies modern science for healthier life through proprietary foods & digital ecosystem,"3one4 Capital, Angel list India",3000000.0,Pre seed Round,2020
948,SmarterBiz,Bangalore,Tech,An end-to-end CX platform enabled with the gig workforce,"StartupXseed Ventures, Bhaskar Pramanik, MJ Aravinf, Ravi Viswanath, Ramesh Radhakrishnan, Ranjan Biswas, MJ Aniketh.",1065000.0,Pre Series A,2020
949,Able Jobs,Bangalore,HR,Provides end to end hiring support to companies,"SAIF Partners, Y Combinator, Neeraj Arora, Titan Capital, First Cheque.",2000000.0,,2020
950,Vieroots,Kochi,Healthtech,Personalised lifestyle management using epigenetic science,Suniel Shetty,3000000.0,,2020
951,Stack Finance,Bangalore,Fintech,"It automates invesments, expenses, borrowing under a single platform","SOSV, MOX (Mobile Only Accelerator)",3000000.0,Seed round,2020
952,FPL Technologies,Pune,Fintech,OneScore app is built by FPL - Free credit scoring and monitoring,"Matrix Partners India, Sequoia Capital India, Hummingbird Ventures",10000000.0,Series A,2020
953,Masai School,Bangalore,EdTech,It trains tech aspirants in full stack wed and android development,"Unitus Ventures, India Quotient, AngelList India",2500000.0,Series A,2020
954,Mitron,Bangalore,Media,Short Video and Social Platform,Nexus Venture Partners,5000000.0,Series A,2020
955,Daalchini,,IoT,Physical and Digital vending machines startup,Artha Venture Fund,669000.0,Pre Series A,2020
